basket_type,n_stocks,stocks,ticker,weight
Thomas-style,3,EQT|MPC|PBA,PBA,0.49219781554929165
Thomas-style,3,EQT|MPC|WMB,EQT,0.03853254841771996
Thomas-style,3,EQT|MPC|WMB,MPC,0.48325834073966883
Thomas-style,3,EQT|MPC|WMB,WMB,0.47820911084261125
Thomas-style,3,CNQ|EQT|PSX,CNQ,0.4961795980651445
Thomas-style,3,CNQ|EQT|PSX,EQT,0.07735507548153123
Thomas-style,3,CNQ|EQT|PSX,PSX,0.42646532645332424
Thomas-style,3,CVE|EQT|PSX,CVE,0.34646579135454747
Thomas-style,3,CVE|EQT|PSX,EQT,0.13495086908833004
Thomas-style,3,CVE|EQT|PSX,PSX,0.5185833395571225
Thomas-style,3,EQT|PSX|SU,EQT,0.09997773651916902
Thomas-style,3,EQT|PSX|SU,PSX,0.40167705131607695
Thomas-style,3,EQT|PSX|SU,SU,0.498345212164754
Thomas-style,3,EQT|IMO|PSX,EQT,0.1070210338289933
Thomas-style,3,EQT|IMO|PSX,IMO,0.46367905690332667
Thomas-style,3,EQT|IMO|PSX,PSX,0.42929990926767997
Thomas-style,3,ENB|EQT|PSX,ENB,0.43806971163242736
Thomas-style,3,ENB|EQT|PSX,EQT,0.07829591047949884
Thomas-style,3,ENB|EQT|PSX,PSX,0.48363437788807384
Thomas-style,3,EQT|PSX|TRP,EQT,0.0877148420940157
Thomas-style,3,EQT|PSX|TRP,PSX,0.5387977346655498
Thomas-style,3,EQT|PSX|TRP,TRP,0.3734874232404345
Thomas-style,3,EQT|PBA|PSX,EQT,0.06860270842490708
Thomas-style,3,EQT|PBA|PSX,PBA,0.4846475924523318
Thomas-style,3,EQT|PBA|PSX,PSX,0.44674969912276113
Thomas-style,3,EQT|PSX|WMB,EQT,0.03014555562643992
Thomas-style,3,EQT|PSX|WMB,PSX,0.49384854306754367
Thomas-style,3,EQT|PSX|WMB,WMB,0.4760059013060165
Thomas-style,3,CNQ|EQT|VLO,CNQ,0.5536428725097359
