stock_1,stock_2,observations,correlation,volatility_1,volatility_2,volatility_difference,return_difference_std
XOM,SHEL,9734,0.6204565400556894,0.015573034663620963,0.018724119062222072,0.003151084398601109,0.01520764664809624
BKR,OKE,2296,0.6202150997199531,0.025216969272738986,0.02603661126345386,0.0008196419907148741,0.02234677433667044
BKR,PSX,2296,0.6200864136373231,0.025216969272738986,0.023172268641810035,0.0020447006309289514,0.021170119162489048
EQNR,TS,2078,0.6195656398115384,0.02308650389249311,0.02405887993409756,0.000972376041604453,0.020580548010838175
FTI,EQNR,2078,0.618846962872972,0.03214241396659993,0.02308650389249311,0.009055910074106818,0.02544962233400891
FTI,CVE,4215,0.6187763965226172,0.02713272612089332,0.02927519107143669,0.00214246495054337,0.024702509479696554
TS,XOM,5958,0.6181524111816448,0.02520614781485461,0.01624820222107168,0.008957945593782927,0.01982472325817748
BKR,OXY,2296,0.6175138192687825,0.025216969272738986,0.03310850528059004,0.007891536007851054,0.02647543820042344
PSX,DVN,3611,0.617049231785289,0.021123561127816888,0.029469890404859242,0.008346329277042354,0.023376095396559517
BKR,BP,2296,0.6162769676680442,0.025216969272738986,0.020462446001488485,0.004754523271250501,0.020459920091877155
SU,DVN,8236,0.6147710934333344,0.02294919083409766,0.026334107168932377,0.003384916334834717,0.021842186326063693
PBA,BP,3993,0.6146446072879667,0.01921082965795887,0.018446187240146166,0.000764642417812704,0.016543845034136456
SU,CVX,8236,0.6138586811993036,0.02294919083409766,0.016866868766359806,0.006082322067737855,0.01832840881609675
BKR,SHEL,2296,0.613738339001412,0.025216969272738986,0.01999675882367521,0.005220210449063775,0.020415714394175853
E,COP,7733,0.6131546397517881,0.0185149362565788,0.020440607084938694,0.0019256708283598954,0.017219655022681503
TS,DVN,5958,0.61279688645101,0.02520614781485461,0.02742637402290528,0.0022202262080506727,0.02324406764152723
EQNR,PSX,2078,0.6122755833638475,0.02308650389249311,0.02409544085977004,0.0010089369672769306,0.020793850886204703
COP,MPC,3813,0.6120968779387527,0.02179607692810239,0.024859320465776852,0.0030632435376744607,0.02073024240714456
WDS,E,4806,0.6116875053757436,0.02493510518267522,0.019809651857307275,0.005125453325367946,0.020245707024350825
TS,CVE,4215,0.611607235393827,0.022564234825257445,0.02927519107143669,0.006710956246179244,0.02362540849205243
FTI,BP,6334,0.6112730893190862,0.027381102081088595,0.018840085648332915,0.00854101643275568,0.02177172672597491
EQNR,OKE,2078,0.6100480031544165,0.02308650389249311,0.02705471651876956,0.003968212626276453,0.02242484836587709
XOM,DVN,8669,0.6100238114985815,0.015857173948762782,0.026190818633795864,0.010333644685033082,0.020753507661775805
TS,OXY,5958,0.6099980855801941,0.02520614781485461,0.02639242220512424,0.0011862743902696302,0.02281021272147989
WDS,CVX,4806,0.6099531595663918,0.02493510518267522,0.01828251880367164,0.0066525863790035805,0.019997082420950205
EOG,SU,8236,0.6098784632838412,0.024517455734403594,0.02294919083409766,0.0015682649003059337,0.021011133296203906
